
Circuit: *mat_array_06_11_13_58_58_591.cir


Circuit: *mat_array_06_11_13_58_58_591.cir
Date: Tue Jun 11 13:58:58  2019


Operating point information:

	Node	Voltage
          p           0.000509421           0.000515643            0.00262028

 Resistor: Simple linear resistor
     device                  r263                  r252                  r242
      model                     R                     R                     R
 resistance                   100                   100                   100
          i                     0            0.00131208            0.00276879
          p                     0           0.000172154           0.000766618

 Resistor: Simple linear resistor
     device                  r233                  r225                  r218
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00397187            0.00397436             0.0039876
          p            0.00157758            0.00157956             0.0015901

 Resistor: Simple linear resistor
     device                  r212                   r27                  r253
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00399189            0.00645897                     0
          p            0.00159352            0.00417183                     0

 Resistor: Simple linear resistor
     device                  r243                  r234                  r226
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           2.79584e-06           7.00783e-06           9.28762e-06
          p           7.81669e-10           4.91097e-09           8.62599e-09

 Resistor: Simple linear resistor
     device                  r219                  r213                   r28
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00289282            0.00290031            0.00290506
          p           0.000836843           0.000841181           0.000843936

 Resistor: Simple linear resistor
     device                   r24                 r1144                 r1127
      model                     R                     R                     R
 resistance                   100                  1000                334000
          i            0.00290788           -0.00158523          -5.70765e-06
          p           0.000845577            0.00251296           1.08808e-05

 Resistor: Simple linear resistor
     device                 r1111                  r196                  r182
      model                     R                     R                     R
 resistance                  1000                  1000                667000
          i           -0.00206284           -0.00213105          -4.02916e-06
          p            0.00425529            0.00454137           1.08282e-05

 Resistor: Simple linear resistor
     device                  r169                  r157                  r146
      model                     R                     R                     R
 resistance                334000                  1000                667000
          i          -1.03772e-05           -0.00399101          -7.89748e-06
          p           3.59675e-05             0.0159281           4.16009e-05

 Resistor: Simple linear resistor
     device                 r1128                 r1112                  r197
      model                     R                     R                     R
 resistance                667000                334000                 1e+06
          i           6.04296e-06           1.15689e-05           3.66528e-06
          p           2.43571e-05           4.47023e-05           1.34343e-05

 Resistor: Simple linear resistor
     device                  r183                  r170                  r158
      model                     R                     R                     R
 resistance                667000                 1e+06                  1000
          i           6.37919e-06           4.51455e-06            0.00411781
          p           2.71429e-05           2.03811e-05             0.0169563

 Resistor: Simple linear resistor
     device                  r147                  r137                 r1113
      model                     R                     R                     R
 resistance                334000                  1000                 1e+06
          i           1.27083e-05            0.00446397          -4.47659e-06
          p           5.39412e-05              0.019927           2.00399e-05

 Resistor: Simple linear resistor
     device                  r198                  r184                  r171
      model                     R                     R                     R
 resistance                 1e+06                 1e+06                334000
          i          -4.64839e-06          -5.05367e-06          -1.25059e-05
          p           2.16075e-05           2.55396e-05           5.22367e-05

 Resistor: Simple linear resistor
     device                  r159                  r148                  r138
      model                     R                     R                     R
 resistance                334000                  1000                 1e+06
          i          -1.10425e-05           -0.00388088          -5.31463e-06
          p           4.07266e-05             0.0150612           2.82453e-05

 Resistor: Simple linear resistor
     device                  r129                  r199                  r185
      model                     R                     R                     R
 resistance                  1000                667000                667000
          i           -0.00535804           4.62925e-06           4.36688e-06
          p             0.0287086           1.42938e-05           1.27195e-05

 Resistor: Simple linear resistor
     device                  r172                  r160                  r149
      model                     R                     R                     R
 resistance                  1000                667000                667000
          i             0.0023053           5.55431e-06           6.99087e-06
          p            0.00531442           2.05772e-05           3.25978e-05

 Resistor: Simple linear resistor
     device                  r139                  r130                  r122
      model                     R                     R                     R
 resistance                 1e+06                  1000                334000
          i           4.53072e-06            0.00335586           1.28268e-05
          p           2.05274e-05             0.0112618           5.49518e-05

 Resistor: Simple linear resistor
     device                  r186                  r173                  r161
      model                     R                     R                     R
 resistance                  1000                 1e+06                 1e+06
          i           -0.00212027           -2.5119e-06          -3.30632e-06
          p            0.00449555           6.30965e-06           1.09318e-05

 Resistor: Simple linear resistor
     device                  r150                  r140                  r131
      model                     R                     R                     R
 resistance                  1000                  1000                667000
          i           -0.00229104           -0.00177168          -4.39524e-06
          p            0.00524888            0.00313883           1.28852e-05

 Resistor: Simple linear resistor
     device                  r123                  r116                  r174
      model                     R                     R                     R
 resistance                  1000                334000                  1000
          i           -0.00498992          -1.81808e-05            0.00222983
          p             0.0248993           0.000110401            0.00497215

 Resistor: Simple linear resistor
     device                  r162                  r151                  r141
      model                     R                     R                     R
 resistance                334000                 1e+06                334000
          i           7.42769e-06           2.14851e-06           1.02738e-05
          p            1.8427e-05           4.61611e-06           3.52543e-05

 Resistor: Simple linear resistor
     device                  r132                  r124                  r117
      model                     R                     R                     R
 resistance                667000                334000                  1000
          i           7.35283e-06            1.3741e-05            0.00284809
          p           3.60607e-05           6.30644e-05             0.0081116

 Resistor: Simple linear resistor
     device                  r111                  r163                  r152
      model                     R                     R                     R
 resistance                  1000                  1000                  1000
          i            0.00356926            0.00131208            0.00145671
          p             0.0127396            0.00172154              0.002122

 Resistor: Simple linear resistor
     device                  r142                  r133                  r125
      model                     R                     R                     R
 resistance                  1000                 1e+06                334000
          i            0.00120308           2.49121e-06           1.32428e-05
          p            0.00144741           6.20615e-06           5.85739e-05

 Resistor: Simple linear resistor
     device                  r118                  r112                   r17
      model                     R                     R                     R
 resistance                 1e+06                  1000                334000
          i           4.28248e-06            0.00246708           1.06821e-05
          p           1.83396e-05            0.00608651           3.81121e-05

 Resistor: Simple linear resistor
     device                  r153                  r143                  r134
      model                     R                     R                     R
 resistance                 1e+06                667000                 1e+06
          i           2.79584e-06           4.21199e-06           2.27979e-06
          p           7.81669e-06           1.18332e-05           5.19744e-06

 Resistor: Simple linear resistor
     device                  r126                  r119                  r113
      model                     R                     R                     R
 resistance                  1000                667000                 1e+06
          i            0.00288354           7.48854e-06           4.74579e-06
          p            0.00831478           3.74042e-05           2.25225e-05

 Resistor: Simple linear resistor
     device                   r18                   r14                   r48
      model                     R                     R                     R
 resistance                 1e+06                 1e+06                 1e-09
          i           2.82191e-06           3.56748e-06            -0.0097975
          p           7.96319e-06           1.27269e-05           9.59909e-14

 Resistor: Simple linear resistor
     device                   r47                   r46                   r45
      model                     R                     R                     R
 resistance                 1e-09                 1e-09                 1e-09
          i            0.00862688           -0.00928235            0.00570033
          p            7.4423e-14           8.61621e-14           3.24938e-14

 Resistor: Simple linear resistor
     device                   r44                   r43                   r42
      model                     R                     R                     R
 resistance                 1e-09                 1e-09                 1e-09
          i            -0.0112017            0.00868816            0.00646949
          p           1.25478e-13           7.54841e-14           4.18543e-14

 Resistor: Simple linear resistor
     device                   r41
      model                     R
 resistance                 1e-09
          i            0.00291056
          p           8.47136e-15

 Vsource: Independent voltage source
     device                   v44                   v35                   v27
         dc                     0                     0                     0
      acmag                     0                     0                     0
          i          -0.000154602            0.00147142            0.00144528
          p                    -0                     0                     0

 Vsource: Independent voltage source
     device                   v20                   v14                    v9
         dc                     0                     0                     0
      acmag                     0                     0                     0
          i           -0.00152636           -0.00174716           0.000249454
