
Circuit: *mat_array.cir


Circuit: *mat_array.cir
Date: Tue Mar 12 10:59:35  2019


Operating point information:

	Node	Voltage
	memrrow635	5.232225e-03
	memrcol599	4.614673e-03
	memrrow599	4.002386e-03
	memrcol564	3.196005e-03
	memrrow564	2.711317e-03
	memrcol530	1.694212e-03
	memrrow530	1.371780e-03
	memrcol497	1.239049e-04
	memrcol1923	2.066092e-02
	memrrow1923	2.060771e-02
	memrcol1861	2.066098e-02
	memrrow1861	2.060239e-02
	memrcol1800	2.066057e-02
	memrrow1800	2.059121e-02
	memrcol1740	2.065863e-02
	memrrow1740	2.057309e-02
	memrcol1681	2.065355e-02
	memrrow1681	2.054642e-02
	memrcol1623	2.064318e-02
	memrrow1623	2.050904e-02
	memrcol1566	2.062482e-02
	memrrow1566	2.045824e-02
	memrcol1510	2.059519e-02
	memrrow1510	2.039079e-02
	memrcol1455	2.055046e-02
	memrrow1455	2.030289e-02
	memrcol1401	2.048619e-02
	memrrow1401	2.019024e-02
	memrcol1348	2.039737e-02
	memrrow1348	2.004800e-02
	memrcol1296	2.027839e-02
	memrrow1296	1.987082e-02
	memrcol1245	2.012306e-02
	memrrow1245	1.965288e-02
	memrcol1195	1.992459e-02
	memrrow1195	1.938792e-02
	memrcol1146	1.967565e-02
	memrrow1146	1.906929e-02
	memrcol1098	1.936839e-02
	memrrow1098	1.869003e-02
	memrcol1051	1.899449e-02
	memrrow1051	1.824294e-02
	memrcol1005	1.854523e-02
	memrrow1005	1.772069e-02
	memrcol960	1.801160e-02
	memrrow960	1.711598e-02
	memrcol916	1.738444e-02
	memrrow916	1.642171e-02
	memrcol873	1.665460e-02
	memrrow873	1.563117e-02
	memrcol831	1.581315e-02
	memrrow831	1.473829e-02
	memrcol790	1.485166e-02
	memrrow790	1.373792e-02
	memrcol750	1.376250e-02
	memrrow750	1.262617e-02
	memrcol711	1.253927e-02
	memrrow711	1.140080e-02
	memrcol673	1.117720e-02
	memrrow673	1.006157e-02
	memrcol636	9.673736e-03
	memrrow636	8.610785e-03
	memrcol600	8.029121e-03
	memrrow600	7.053703e-03
	memrcol565	6.247118e-03
	memrrow565	5.399078e-03
	memrcol531	4.335774e-03
	memrrow531	3.659650e-03
	memrcol498	2.308284e-03
	memrrow498	1.852609e-03
	memrcol466	1.838953e-04
	memrcol1862	2.583681e-02
	memrrow1862	2.578010e-02
	memrcol1801	2.583789e-02
	memrrow1801	2.577443e-02
	memrcol1741	2.583940e-02
	memrrow1741	2.576241e-02
	memrcol1682	2.584000e-02
	memrrow1682	2.574270e-02
	memrcol1624	2.583768e-02
	memrrow1624	2.571325e-02
	memrcol1567	2.582977e-02
	memrrow1567	2.567136e-02
	memrcol1511	2.581288e-02
	memrrow1511	2.561364e-02
	memrcol1456	2.578291e-02
	memrrow1456	2.553598e-02
	memrcol1402	2.573504e-02
	memrrow1402	2.543364e-02
	memrcol1349	2.566373e-02
	memrrow1349	2.530115e-02
	memrcol1297	2.556266e-02
	memrrow1297	2.513241e-02
	memrcol1246	2.542477e-02
	memrrow1246	2.492064e-02
	memrcol1196	2.524224e-02
	memrrow1196	2.465846e-02
	memrcol1147	2.500650e-02
	memrrow1147	2.433790e-02
	memrcol1099	2.470825e-02
	memrrow1099	2.395048e-02
	memrcol1052	2.433751e-02
	memrrow1052	2.348729e-02
	memrcol1006	2.388365e-02
	memrrow1006	2.293907e-02
	memrcol961	2.333553e-02
	memrrow961	2.229640e-02
	memrcol917	2.268157e-02
	memrrow917	2.154981e-02
	memrcol874	2.190991e-02
	memrrow874	2.069005e-02
	memrcol832	2.100867e-02
	memrrow832	1.970830e-02
	memrcol791	1.996617e-02
	memrrow791	1.859652e-02
	memrcol751	1.877124e-02
	memrrow751	1.734777e-02
	memrcol712	1.741367e-02
	memrrow712	1.595667e-02
	memrcol674	1.588469e-02
	memrrow674	1.441988e-02
	memrcol637	1.417752e-02
	memrrow637	1.273660e-02
	memrcol601	1.228807e-02
	memrrow601	1.090923e-02
	memrcol566	1.021575e-02
	memrrow566	8.943974e-03
	memrcol532	7.964366e-03
	memrrow532	6.851542e-03
	memrcol499	5.543157e-03
	memrrow499	4.647828e-03
	memrcol467	2.967923e-03
	memrrow467	2.354581e-03
	memrcol436	2.622751e-04
	memrcol1802	3.101836e-02
	memrrow1802	3.096479e-02
	memrcol1742	3.102115e-02
	memrrow1742	3.095943e-02
	memrcol1683	3.102592e-02
	memrrow1683	3.094790e-02
	memrcol1625	3.103109e-02
	memrrow1625	3.092857e-02
	memrcol1568	3.103426e-02
	memrrow1568	3.089898e-02
	memrcol1512	3.103220e-02
	memrrow1512	3.085587e-02
	memrcol1457	3.102086e-02
	memrrow1457	3.079513e-02
	memrcol1403	3.099531e-02
	memrrow1403	3.071181e-02
	memrcol1350	3.094977e-02
	memrrow1350	3.060014e-02
	memrcol1298	3.087752e-02
	memrrow1298	3.045351e-02
	memrcol1247	3.077097e-02
	memrrow1247	3.026448e-02
	memrcol1197	3.062156e-02
	memrrow1197	3.002479e-02
	memrcol1148	3.041980e-02
	memrrow1148	2.972544e-02
	memrcol1100	3.015527e-02
	memrrow1100	2.935664e-02
	memrcol1053	2.981663e-02
	memrrow1053	2.890798e-02
	memrcol1007	2.939164e-02
